frequency_rank,characters,pinyin
1037,无法,wúfǎ
1038,晒,shài
1039,注意,zhùyì
1040,小鬼,xiǎoguǐ
1041,大伙儿,dàhuǒer
1042,山坡,shānpō
1043,刚刚,gānggāng
1044,粮食,liángshi
1045,射,shè
1046,真正,zhēnzhèng
1047,张开,zhāngkāi
1048,了解,liǎojiě
1049,段,duàn
1050,大约,dàyuē
1051,思,sī
1052,好看,hǎokàn
1053,小孩,xiǎohái
1054,岛,dǎo
1055,恐龙,kǒnglóng
1056,舅妈,jiùmā
1057,下课,xiàkè
1058,花瓣,huābàn
1059,老百姓,lǎobǎixìng
1060,收拾,shōushi
1061,大叔,dàshū
1062,撒,sā
1063,黄瓜,huángguā
1064,草原,cǎoyuán
1065,牵,qiān
1066,溜,liū
1067,湿,shī
1068,船长,chuánzhǎng
1069,卫生,wèishēng
1070,冒,mào
1071,感谢,gǎnxiè
1072,女士,nǚshì
1073,客人,kèren
1074,旅馆,lǚguǎn
1075,零,líng
1076,喷,pēn
1077,舒服,shūfu
1078,卫星,wèixīng
1079,英国,Yīngguó
1080,进入,jìnrù
1081,组成,zǔchéng
1082,胖子,pàngzi
1083,观察,guānchá
1084,偷,tōu
1085,落叶,luòyè
1086,支,zhī
1087,演奏,yǎnzòu
1088,整个,zhěnggè
1089,甚至,shènzhì
1090,上衣,shàngyī
1091,脱,tuō
1092,显得,xiǎnde
1093,消息,xiāoxi
1094,电视,diànshì
1095,嗯,en
1096,四周,sìzhōu
1097,好久,hǎojiǔ
1098,遍,biàn
1099,同时,tóngshí
1100,架,jià
1101,田野,tiányě
1102,能够,nénggòu
1103,喔,o
1104,命令,mìnglìng
1105,转身,zhuǎnshēn
1106,孔子,Kǒngzǐ
1107,晚饭,wǎnfàn
1108,士兵,shìbīng
1109,听说,tīngshuō
1110,地下,dìxià
1111,于,yú
1112,建,jiàn
1113,成为,chéngwéi
1114,中心,zhōngxīn
1115,滴,dī
1116,夜里,yèlǐ
1117,大概,dàgài
1118,似乎,sìhū
1119,校长,xiàozhǎng
1120,文具,wénjù
1121,圈,quān
1122,脚步,jiǎobù
1123,受,shòu
1124,田,tián
1125,样,yàng
1126,雨点（儿）,yǔdiǎn
1127,充气,chōngqì
1128,折,zhé
1129,操场,cāochǎng
1130,篮子,lánzi
1131,粉红色,fěnhóngsè
1132,照片,zhàopiàn
1133,老板,lǎobǎn
1134,左右,zuǒyòu
1135,牛奶,niúnǎi
1136,起床,qǐchuáng
1137,那边,nàbiān
1138,草莓,cǎoméi
1139,祝,zhù
1140,鹅,é
1141,菜园,càiyuán
1142,大婶,dàshěn
1143,主人,zhǔrén
1144,早饭,zǎofàn
1145,电子,diànzǐ
1146,埋,mái
1147,岩石,yánshí
1148,移,yí
1149,天体,tiāntǐ
1150,物质,wùzhì
1151,运动,yùndòng
1152,太阳系,tàiyángxì
1153,忘记,wàngjì
1154,仿佛,fǎngfú
1155,细,xì
1156,秋,qiū
1157,记,jì
1158,氏,shì
1159,病,bìng
1160,短,duǎn
1161,有时,yǒushí
1162,入,rù
1163,根本,gēnběn
1164,影子,yǐngzi
1165,过年,guònián
1166,鞭炮,biānpào
1167,不好意思,bùhǎoyìsi
1168,实在,shízài
1169,保护,bǎohù
1170,咱们,zánmen
1171,套,tào
1172,苦,kǔ
1173,同意,tóngyì
1174,全部,quánbù
1175,一般,yìbān
1176,相信,xiāngxìn
1177,感动,gǎndòng
1178,必须,bìxū
1179,大量,dàliàng
1180,首都,shǒudū
1181,粒,lì
1182,土,tǔ
1183,双手,shuāngshǒu
1184,微笑,wēixiào
1185,高大,gāodà
1186,儿童,értóng
1187,玻璃,bōli
1188,俩,liǎ
1189,蚕,cán
1190,嘎,gā
1191,眨,zhǎ
1192,花朵,huāduǒ
1193,狮子,shīzi
1194,喷发,pēnfā
1195,生意,shēngyì
1196,试,shì
1197,上前,shàngqián
1198,胖,pàng
1199,院子,yuànzi
1200,着手,zhuóshǒu
